Citation,Status,Case Name,Court,Year,Context
"347 U.S. 483","200","N/A","N/A","N/A","..."
"88 F.4th 112","404","N/A","N/A","N/A","..."
"118 U.S. 394","possibly_hallucinated","N/A","N/A","N/A","..."
"489 F. Supp. 2d 301","mismatch","N/A","N/A","N/A","..."
"621 F.3d 888","mismatch","N/A","N/A","N/A","..."
"533 U.S. 27","200","N/A","N/A","N/A","..."
"83 U.S. 36","possibly_hallucinated","N/A","N/A","N/A","..."
"535 U.S. 234","200","N/A","N/A","N/A","..."
"497 U.S. 261","200","N/A","N/A","N/A","..."
"163 U.S. 537","200","N/A","N/A","N/A","..."
"408 U.S. 238","200","N/A","N/A","N/A","..."
"71 U.S. 2","300","N/A","N/A","N/A","..."
"553 U.S. 723","300","N/A","N/A","N/A","..."
"543 U.S. 551","200","N/A","N/A","N/A","..."
"381 U.S. 479","200","N/A","N/A","N/A","..."
"60 U.S. 393","300","N/A","N/A","N/A","..."
"501 U.S. 808","200","N/A","N/A","N/A","..."
"424 U.S. 319","200","N/A","N/A","N/A","..."
"789 F. Supp. 2d 1010","mismatch","N/A","N/A","N/A","..."
"3 Cai. R. 175","404","N/A","N/A","N/A","..."
"410 U.S. 113","mismatch","N/A","N/A","N/A","..."
"411 U.S. 121","mismatch","N/A","N/A","N/A","..."
"900 U.S. 422","404","N/A","N/A","N/A","..."
